latitude,longitude,acq_date,acq_time,confidence,frp,year,month,day,index_right,city,country,population,distance_m,distance_km,risk_level
33.60322,-105.31139,2026-05-17,758,n,54.06,2026,5,17,954,Albuquerque,United States,767499.0,251240.96463327142,251.24096463327143,Low
33.60344,-105.31593,2026-05-17,758,n,54.06,2026,5,17,954,Albuquerque,United States,767499.0,250918.5923908084,250.91859239080839,Low
33.61788,-105.35815,2026-05-17,758,n,50.85,2026,5,17,954,Albuquerque,United States,767499.0,246600.53102269073,246.60053102269075,Low
33.61812,-105.36379,2026-05-17,758,n,50.85,2026,5,17,954,Albuquerque,United States,767499.0,246209.7823360281,246.2097823360281,Low
33.62417,-105.36107,2026-05-17,758,n,50.85,2026,5,17,954,Albuquerque,United States,767499.0,245727.55920899415,245.72755920899414,Low
33.6524,-105.30412,2026-05-17,758,n,73.26,2026,5,17,954,Albuquerque,United States,767499.0,246460.3895933464,246.4603895933464,Low
33.65264,-105.30953,2026-05-17,758,n,73.26,2026,5,17,954,Albuquerque,United States,767499.0,246070.14824970273,246.07014824970273,Low
33.65857,-105.30455,2026-05-17,758,n,73.26,2026,5,17,954,Albuquerque,United States,767499.0,245775.62413117118,245.77562413117118,Low
33.65882,-105.30997,2026-05-17,758,h,73.26,2026,5,17,954,Albuquerque,United States,767499.0,245382.77887740306,245.38277887740307,Low
23.2753,54.25934,2026-05-17,905,h,130.06,2026,5,17,517,Abu Dhabi,United Arab Emirates,1483000.0,145527.46845257012,145.5274684525701,Low
23.52967,53.28946,2026-05-17,905,n,66.87,2026,5,17,517,Abu Dhabi,United Arab Emirates,1483000.0,165582.79400918898,165.58279400918897,Low
27.57582,48.96526,2026-05-17,905,h,70.16,2026,5,17,1161,Al Qaţīf,Saudi Arabia,625092.0,176050.34307783563,176.05034307783563,Low
31.13589,49.3172,2026-05-17,907,h,51.02,2026,5,17,565,Ahvāz,Iran,1325000.0,74439.26816036354,74.43926816036354,Moderate
31.66379,44.48797,2026-05-17,907,h,52.67,2026,5,17,1011,An Najaf,Iraq,724700.0,50629.41710816423,50.629417108164226,Moderate
31.7496,48.71965,2026-05-17,907,n,94.05,2026,5,17,1062,Borvāyeh-ye Al Bū ‘Azīz,Iran,690000.0,19705.698577462943,19.705698577462943,Very High
35.68272,43.87676,2026-05-17,907,n,76.33,2026,5,17,757,Kirkuk,Iraq,975000.0,65320.788165946404,65.32078816594641,Moderate
